Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,111.389999,111.440002,107.349998,109.330002,103.074181,53204600
2015-01-05,108.290001,108.650002,105.410004,106.250000,100.170410,64285500
2015-01-06,106.540001,107.430000,104.629997,106.260002,100.179840,65797100
2015-01-07,107.199997,108.199997,106.699997,107.750000,101.584595,40105900
2015-01-08,109.230003,112.150002,108.699997,111.889999,105.487686,59364500
2015-01-09,112.669998,113.250000,110.209999,112.010002,105.600830,53699500
2015-01-12,112.599998,112.629997,108.800003,109.250000,102.998756,49650800
2015-01-13,111.430000,112.800003,108.910004,110.220001,103.913254,67091900
2015-01-14,109.040001,110.489998,108.500000,109.800003,103.517288,48337000
2015-01-15,110.000000,110.059998,106.660004,106.820000,100.707794,60014000
2015-01-16,107.029999,107.580002,105.199997,105.989998,99.925285,78513300
2015-01-20,107.839996,108.970001,106.500000,108.720001,102.499084,49899900
2015-01-21,108.949997,111.059998,108.269997,109.550003,103.281601,48575900
2015-01-22,110.260002,112.470001,109.720001,112.400002,105.968513,53796400
2015-01-23,112.300003,113.750000,111.529999,112.980003,106.515343,46464800
2015-01-26,113.739998,114.360001,112.800003,113.099998,106.628456,55615000
2015-01-27,112.419998,112.480003,109.029999,109.139999,102.895042,95568700
2015-01-28,117.629997,118.120003,115.309998,115.309998,108.712006,146477100
2015-01-29,116.320000,119.190002,115.559998,118.900002,112.096596,84436400
2015-01-30,118.400002,120.000000,116.849998,117.160004,110.456146,83745500
2015-02-02,118.050003,119.169998,116.080002,118.629997,111.842033,62739100
2015-02-03,118.500000,119.089996,117.610001,118.650002,111.860886,51915700
2015-02-04,118.500000,120.510002,118.309998,119.559998,112.718826,70149700
2015-02-05,120.019997,120.230003,119.250000,119.940002,113.523354,42246200
2015-02-06,120.019997,120.250000,118.449997,118.930000,112.567368,43706600
2015-02-09,118.550003,119.839996,118.430000,119.720001,113.315117,38889800
2015-02-10,120.169998,122.150002,120.160004,122.019997,115.492065,62008500
2015-02-11,122.769997,124.919998,122.500000,124.879997,118.199059,73561800
2015-02-12,126.059998,127.480003,125.570000,126.459999,119.694542,74474500
2015-02-13,127.279999,127.279999,125.650002,127.080002,120.281372,54272200
2015-02-17,127.489998,128.880005,126.919998,127.830002,120.991234,63152400
2015-02-18,127.629997,128.779999,127.449997,128.720001,121.833641,44891700
2015-02-19,128.479996,129.029999,128.330002,128.449997,121.578064,37362400
2015-02-20,128.619995,129.500000,128.050003,129.500000,122.571915,48948400
2015-02-23,130.020004,133.000000,129.660004,133.000000,125.884651,70974100
2015-02-24,132.940002,133.600006,131.169998,132.169998,125.099060,69228100
2015-02-25,131.559998,131.600006,128.149994,128.789993,121.899895,74711700
2015-02-26,128.789993,130.869995,126.610001,130.419998,123.442680,91287500
2015-02-27,130.000000,130.570007,128.240005,128.460007,121.587555,62014800
2015-03-02,129.250000,130.279999,128.300003,129.089996,122.183830,48096700
2015-03-03,128.960007,129.520004,128.089996,129.360001,122.439392,37816300
2015-03-04,129.100006,129.559998,128.320007,128.539993,121.663254,31666300
2015-03-05,128.580002,128.750000,125.760002,126.410004,119.647224,56517100
2015-03-06,128.399994,129.369995,126.260002,126.599998,119.827042,72842100
2015-03-09,127.959999,129.570007,125.059998,127.139999,120.338158,88528500
2015-03-10,126.410004,127.220001,123.800003,124.510002,117.848862,68856600
2015-03-11,124.750000,124.769997,122.110001,122.239998,115.700287,68939000
2015-03-12,122.309998,124.900002,121.629997,124.449997,117.792053,48362700
2015-03-13,124.400002,125.400002,122.580002,123.589996,116.978073,51827300
2015-03-16,123.879997,124.949997,122.870003,124.949997,118.265312,35874300
2015-03-17,125.900002,127.320000,125.650002,127.040001,120.243500,51023100
2015-03-18,127.000000,129.160004,126.370003,128.470001,121.597000,65270900
2015-03-19,128.750000,129.250000,127.400002,127.500000,120.678909,45809500
2015-03-20,128.250000,128.399994,125.160004,125.900002,119.164505,68695100
2015-03-23,127.120003,127.849998,126.519997,127.209999,120.404411,37709700
2015-03-24,127.230003,128.039993,126.559998,126.690002,119.912231,32842300
2015-03-25,126.540001,126.820000,123.379997,123.379997,116.779327,51655200
2015-03-26,122.760002,124.879997,122.599998,124.239998,117.593323,47572900
2015-03-27,124.570000,124.699997,122.910004,123.250000,116.656273,39546200
2015-03-30,124.050003,126.400002,124.000000,126.370003,119.609360,47099700
2015-03-31,126.089996,126.489998,124.360001,124.430000,117.773125,42090600
2015-04-01,124.820000,125.120003,123.099998,124.250000,117.602768,40621400
2015-04-02,125.029999,125.559998,124.190002,125.320000,118.615524,32220100
2015-04-06,124.470001,127.510002,124.330002,127.349998,120.536911,37194000
2015-04-07,127.639999,128.119995,125.980003,126.010002,119.268623,35012300
2015-04-08,125.849998,126.400002,124.970001,125.599998,118.880554,37329200
2015-04-09,125.849998,126.580002,124.660004,126.559998,119.789185,32484000
2015-04-10,125.949997,127.209999,125.260002,127.099998,120.300301,40188000
2015-04-13,128.369995,128.570007,126.610001,126.849998,120.063675,36365100
2015-04-14,127.000000,127.290001,125.910004,126.300003,119.543106,25524600
2015-04-15,126.410004,127.129997,126.010002,126.779999,119.997414,28970400
